Log : 13/05/2019 15:05:00,227 - ERROR [AWT-EventQueue-0] (InstanceScreenTSView.java:3445) - java.lang.NullPointerException
Log : 13/05/2019 15:05:32,524 - ERROR [AWT-EventQueue-0] (InstanceScreenTSView.java:3445) - java.lang.NullPointerException
Log : 13/05/2019 15:10:36,180 - ERROR [AWT-EventQueue-0] (InstanceScreenTSView.java:3445) - java.lang.NullPointerException
Log : 13/05/2019 15:14:05,009 - ERROR [AWT-EventQueue-0] (InstanceScreenTSView.java:3445) - java.lang.NullPointerException
Log : 13/05/2019 15:17:47,875 - ERROR [AWT-EventQueue-0] (InstanceScreenTSView.java:3445) - java.lang.NullPointerException
Log : 13/05/2019 15:27:28,359 - ERROR [AWT-EventQueue-0] (InstanceScreenTSView.java:3445) - java.lang.NullPointerException
Log : 13/05/2019 15:32:55,411 -  INFO [SwingWorker-pool-1-thread-9] (TesteCaseTSDAO.java:269) - Realizando cópia da planilha
Log : 13/05/2019 15:32:57,520 -  INFO [SwingWorker-pool-1-thread-9] (TesteCaseTSDAO.java:281) - Planilha copiada
Log : 13/05/2019 15:33:01,551 -  INFO [SwingWorker-pool-1-thread-9] (TesteCaseTSDAO.java:315) - Inserindo dados do plano
Log : 13/05/2019 15:33:01,567 -  INFO [SwingWorker-pool-1-thread-9] (TesteCaseTSDAO.java:346) - Inserindo dados dos TCs
Log : 13/05/2019 15:33:01,661 -  INFO [SwingWorker-pool-1-thread-9] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 15:33:01,676 -  INFO [SwingWorker-pool-1-thread-9] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 15:33:01,676 -  INFO [SwingWorker-pool-1-thread-9] (TesteCaseTSDAO.java:420) - Dados inseridos na planilha
Log : 13/05/2019 15:33:01,676 -  INFO [SwingWorker-pool-1-thread-9] (TesteCaseTSDAO.java:346) - Inserindo dados dos TCs
Log : 13/05/2019 15:33:01,692 -  INFO [SwingWorker-pool-1-thread-9] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 15:33:01,708 -  INFO [SwingWorker-pool-1-thread-9] (TesteCaseTSDAO.java:387) - Inserindo dados dos Steps
Log : 13/05/2019 15:33:01,817 -  INFO [SwingWorker-pool-1-thread-9] (TesteCaseTSDAO.java:420) - Dados inseridos na planilha
Log : 13/05/2019 15:33:01,833 -  INFO [SwingWorker-pool-1-thread-9] (TesteCaseTSDAO.java:441) - Preparando para salvar planilha
Log : 13/05/2019 15:33:01,833 -  INFO [SwingWorker-pool-1-thread-9] (TesteCaseTSDAO.java:444) - Fim método - new FileOutputStream(destinationSheet) 
Log : 13/05/2019 15:33:01,848 -  INFO [SwingWorker-pool-1-thread-9] (TesteCaseTSDAO.java:445) - Tentando gravar na planilha.
Log : 13/05/2019 15:33:03,942 -  INFO [SwingWorker-pool-1-thread-9] (TesteCaseTSDAO.java:447) - Fim método - workbook.write(fileOut)
